Date,Data collector,treatment,Plot ID,Column,Row,Species ID,region,Province Info,Mortality Status,Height(cm),Width1 (cm) (widest diameter),Width2 (cm) (perpendicular to W1 measurement),Canopy (avg),Area (m2),biomass_kg/m2,Notes,mort_status,,,southern species,code,Scientific Name,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,J,6,AGSH,south,,A,10,16,14,0.15,0.0177,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,J,7,STPU,central,SB,A,82,54,53,0.535,0.2248,0.3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,J,8,SPAM,south,,A,108,192,112,1.52,1.8145,3.5274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,J,9,BAPI,central,,A,74,85,76,0.805,0.5089,0.6779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,1,SAAP,central,,A,62,87,56,0.715,0.4015,0.4481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,2,ENCA,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,3,ENCA,central,,A,60,155,145,1.5,1.7671,1.9085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,4,LYCA,south,,A,39,55,26,0.405,0.1288,0.0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,5,BRCA,central,,A,47,50,50,0.5,0.1963,0.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,6,HEWH,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,7,LYCA,south,,A,39,97,83,0.9,0.6362,0.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,8,SPAM,south,,A,84,94,77,0.855,0.5741,0.8681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,K,9,LYCA,south,,A,34,76,52,0.64,0.3217,0.1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,1,SAAP,central,,A,135,90,78,0.84,0.5542,1.3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,2,BAPI,central,,A,75,58,70,0.64,0.3217,0.4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,3,AGSH,south,,A,14,16,11,0.135,0.0143,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,4,LYCA,south,,A,26,48,17,0.325,0.0830,0.0388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,5,SODO,central,,A,108,268,238,2.53,5.0271,9.7727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,6,BAPI,central,,A,81,104,70,0.87,0.5945,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,7,PEAR,south,,A,58,20,12,0.16,0.0201,0.0210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,8,BOBA,central,,A,72,50,34,0.42,0.1385,0.1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,L,9,EUMI,south,,A,35,36,17,0.265,0.0552,0.0347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,1,ACGL,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,2,HEWH,central,,A,12,12,11,0.115,0.0104,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,3,ISME,central,,A,78,104,94,0.99,0.7697,1.0807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,4,AGSH,south,,A,5,4,2,0.03,0.0007,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,5,BOBA,central,,A,53,67,42,0.545,0.2333,0.2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,6,STPU,central,,A,7,10,8,0.09,0.0064,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,7,PEAR,south,,A,59,74,55,0.645,0.3267,0.3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,8,LECO,central,,A,192,184,102,1.43,1.6060,5.5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,M,9,COFI,central,,A,2,13,10,0.115,0.0104,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,1,AGSH,south,,A,11,13.5,9,0.1125,0.0099,0.0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,2,ACGL,central,,A,54,80,73,0.765,0.4596,0.4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,3,ISME,central,,A,70,92,90,0.91,0.6504,0.8195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,4,AMFR,south,,A,93,84,64,0.74,0.4301,0.7199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,5,STPU,central,,A,77,113,78,0.955,0.7163,0.9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,6,STPU,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,7,STPU,central,,A,75,70,40,0.55,0.2376,0.3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,8,LECO,central,,A,100,64,33,0.485,0.1847,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,N,9,LECO,central,,A,165,105,40,0.725,0.4128,1.2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,1,EPCA,central,SB,A,38,112,90,1.01,0.8012,0.5480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,2,EPCA,central,SD,A,25.5,45,27,0.36,0.1018,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,3,ARCA,central,,A,75,79,69,0.74,0.4301,0.5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,4,ERFA,central,,A,8,17,11,0.14,0.0154,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,5,ERFA,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,6,STPU,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,7,ENCA,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,8,ENCA,central,,A,18,32,20,0.26,0.0531,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,O,9,SODO,central,,A,176,268,210,2.39,4.4861,14.2121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,1,STPU,central,SD,A,137,216,150,1.83,2.6301,6.4859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,2,EMPTY,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,3,HEWH,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,4,BEEM,south,,A,16,6,4.5,0.0525,0.0022,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,5,BEEM,south,,A,21,5,4.5,0.0475,0.0018,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,6,COFI,central,,A,1.5,14,3,0.085,0.0057,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,7,HEWH,central,,A,30,48,36,0.42,0.1385,0.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,8,BRCA,central,,A,49,78,37,0.575,0.2597,0.2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,P,9,SAAP,central,,A,116.5,100,100,1,0.7854,1.6469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,1,STPU,central,IRV,A,106,167,140,1.535,1.8505,3.5308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,2,STPU,central,SB,A,97,117,95,1.06,0.8824,1.5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,3,AGSH,central,,A,12,17,13,0.15,0.0177,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,4,LYCA,central,,A,37,144,105,1.245,1.2174,0.8108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,5,EUMI,south,,A,31,28,26,0.27,0.0573,0.0319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,6,COFI,central,,A,10,17,15,0.16,0.0201,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,7,AGSH,south,,A,23,30,27,0.285,0.0638,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,8,LYCA,south,,A,27,76,72,0.74,0.4301,0.2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,Q,9,SAAP,central,,A,151,150,160,1.55,1.8869,5.1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,1,LEGI,central,,A,53,110,100,1.05,0.8659,0.8260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,2,EMPTY,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,3,ARCA,central,,A,93,140,127,1.335,1.3997,2.3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,4,EMPTY,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,5,GRCA,central,,A,90,172,148,1.6,2.0106,3.2571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,6,BRCA,central,,A,141,59,55,0.57,0.2552,0.6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,7,RHIN,central,,A,25,29,16,0.225,0.0398,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,8,STPU,central,,A,68,73,71,0.72,0.4071,0.4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,R,9,STPU,central,,A,7,12,7,0.095,0.0071,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,1,BAPI,central,,A,94,114,80,0.97,0.7390,1.2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,2,BOBA,central,,A,94,89,90,0.895,0.6291,1.0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,3,STPU,central,,A,71,73,42,0.575,0.2597,0.3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,4,STPU,central,,A,78,97,76,0.865,0.5876,0.8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,5,SPAM,south,,A,114,132,105,1.185,1.1028,2.2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,6,SPAM,south,,A,82,182,150,1.66,2.1642,3.1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,7,RHIN,central,,A,12,29,26,0.275,0.0594,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,8,RHIN,central,,A,23,19,11,0.15,0.0177,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,B. Delira & K. Etter,mulch,D,S,9,BAPI,central,,A,84,84,57,0.705,0.3904,0.5902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,1,BAPI,central,,A,86,82,81,0.815,0.5217,0.8075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,2,LYCA,south,,A,38,26,21,0.235,0.0434,0.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,3,GRCA,central,,A,79,123,116,1.195,1.1215,1.5948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,4,STPU,central,SB,A,79,49,48,0.485,0.1847,0.2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,5,STPU,central,IRV,A,72,79,70,0.745,0.4359,0.5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,6,ARCA,central,,A,96,120,93,1.065,0.8908,1.5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,7,EMPTY,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,8,LYCA,south,,A,33,94,83,0.885,0.6151,0.3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,A,9,BAPI,central,,A,97,126,103,1.145,1.0296,1.7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,1,PEAR,south,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,2,PEAR,south,,A,59,77,73,0.75,0.4418,0.4692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,3,GRCA,central,,A,56,58,45,0.515,0.2083,0.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,4,STPU,central,SD,A,60,116,105,1.105,0.9590,1.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,5,ATLE,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,6,N/A,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,7,BRCA,central,,A,62,47,50,0.485,0.1847,0.2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,8,SAAP,central,,A,82,97,79,0.88,0.6082,0.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,B,9,ISME,central,,A,68,86,79,0.825,0.5345,0.6543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,1,SPAM,south,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,2,SPAM,south,,A,98,148,125,1.365,1.4633,2.5813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,3,BOBA,central,,A,60,55,54,0.545,0.2333,0.2519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,4,ENCA,central,,A,36,101,96,0.985,0.7620,0.4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,5,ENCA,central,,A,61,66,60,0.63,0.3117,0.3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,6,COFI,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,7,COFI,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,8,SAAP,central,,A,51,61,58,0.595,0.2780,0.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,C,9,ISME,central,,A,82,118,109,1.135,1.0117,1.4933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,1,EMPTY,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,2,HEWH,central,,A,12,15,8,0.115,0.0104,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,3,BRCA,central,,A,38,66,53,0.595,0.2780,0.1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,4,BAPI,central,,A,76,102,93,0.975,0.7466,1.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,5,LYCA,south,,A,20,35,25,0.3,0.0707,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,6,HEWH,central,,A,14,25,22,0.235,0.0434,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,7,ARCA,central,,A,86,129,100,1.145,1.0296,1.5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,8,ACGL,central,,A,74,218,171,1.945,2.9711,3.9575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,D,9,ACGL,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,1,ISME,central,,A,68,100,75,0.875,0.6013,0.7360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,2,ISME,central,,A,73,97,71,0.84,0.5542,0.7282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,3,AGSH,south,,A,15,20,17,0.185,0.0269,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,4,STPU,central,,A,68,66,54,0.6,0.2827,0.3461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,5,BEEM,south,,A,11,20,7,0.135,0.0143,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,6,BEEM,south,,A,20,11,6,0.085,0.0057,0.0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,7,BOBA,central,,A,49,57,44,0.505,0.2003,0.1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,8,ACGL,central,,A,62,104,99,1.015,0.8091,0.9030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,E,9,LECO,central,,A,138,78,70,0.74,0.4301,1.0683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,1,LECO,central,,A,73,32,18,0.25,0.0491,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,2,ARCA,central,,A,71,105,18,0.615,0.2970,0.3796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,3,STPU,central,,A,61,42,26,0.34,0.0908,0.0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,4,STPU,central,,A,71,43,41,0.42,0.1385,0.1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,5,AMFR,south,,A,90,31,27,0.29,0.0661,0.1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,6,SODO,central,,A,78,241,244,2.425,4.6185,6.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,7,AGSH,central,,A,16,21,21,0.21,0.0346,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,8,LYCA,south,,A,26,30,24,0.27,0.0573,0.0268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,F,9,LEGI,central,,A,45,36,35,0.355,0.0990,0.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,1,LECO,central,,A,66,46,36,0.41,0.1320,0.1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,2,ATLE,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,3,BOBA,central,,A,55,68,62,0.65,0.3318,0.3285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,4,PEAR,south,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,5,PEAR,south,,A,25,18,18,0.18,0.0254,0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,6,EPCA,central,SD,A,43,97,91,0.94,0.6940,0.5371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,7,BAPI,central,,A,91,90,76,0.83,0.5410,0.8862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,8,N/A,,,,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,G,9,BRCA,central,,A,56,43,38,0.405,0.1288,0.1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,1,ERFA,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,2,ATLE,central,,D,32,27,16,0.215,0.0363,0.0209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,3,BAPI,central,,A,87,80,75,0.775,0.4717,0.7387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,4,PEAR,south,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,5,CAMA,central,,A,25,131,135,1.33,1.3892,0.6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,6,ISME,central,,A,43,53,49,0.51,0.2043,0.1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,7,EPCA,central,SB,A,36,80,72,0.76,0.4536,0.2940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,8,ERFA,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,H,9,ERFA,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,I,1,ERFA,central,,A,57,62,43,0.525,0.2165,0.2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,I,2,COFI,central,,D,,,,0,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,I,3,COFI,central,,A,34,102,109,1.055,0.8741,0.5350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,I,4,BEEM,south,,A,18,10,6,0.08,0.0050,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,C. Shepherd,mulch,E,I,5,BEEM,south,,A,14,7,7,0.07,0.0038,0.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
